id,airdate,episode_number,image_path,name,season,synopsis
1,1989-12-17,1,/episode/1.webp,Simpsons Roasting on an Open Fire,1,"When Mr. Burns announces that none of the workers will be getting Christmas bonuses and Marge reveals that she spent the extra Christmas gift money on getting Bart's ""Mother"" tattoo removed, Homer keeps his lack of funds for the holidays a secret and gets a job as a mall Santa."
2,,2,/episode/2.webp,Bart the Genius,1,"To get back at class nerd/teacher's pet, Martin Prince, for ratting him out to Principal Skinner for vandalism on school property, Bart switches his own intelligence test with Martin's. During a parent/principal conference about the defaced wall, the school counselor, Dr. Pryor, announces that Bart is a genius and only acts out because public school isn't stimulating enough, so Bart is sent to a school for genius kids — and finds out just how painfully below average he is."
3,,3,/episode/3.webp,Homer's Odyssey,1,"After being fired from his job at the nuclear plant and failing to find a new one, Homer becomes depressed and suicidal — but saving his family from getting hit by a truck prompts Homer to become a safety advocate for the entire town."
4,,4,/episode/4.webp,There's No Disgrace Like Home,1,"After being embarrassed by the rest of his family at a company picnic, Homer becomes overly obsessed with everyone in his family being perfect, up to the point where he takes his family to Dr. Marvin Monroe, an unorthodox counselor who uses shock therapy to ""cure"" them."
5,,5,/episode/5.webp,Bart the General,1,"After defending Lisa from school bully Nelson Muntz, Bart becomes Nelson's latest school bullying target. Having become sick and tired of the harassment and torment, Bart, Grampa Simpson, and Herman (a slightly deranged military antique store dealer with a missing arm) rally the town's children into fighting back against Nelson and his cronies with a couple hundred water balloons."
6,,6,/episode/6.webp,Moaning Lisa,1,"Lisa becomes depressed about life and meets a homeless jazz musician named Bleeding Gums Murphy. Meanwhile, Homer tries to beat Bart at a boxing video game."
7,1990-02-18,7,/episode/7.webp,The Call of the Simpsons,1,The Simpsons go on vacation in a rickety RV — and end up lost in the woods when the RV goes over a cliff.
8,,8,/episode/8.webp,The Telltale Head,1,"While cornered by the entire town, Bart tells the story of how he cut off the head of the Jebediah Springfield statue to impress local thugs, Dolph, Jimbo Jones, and Kearney."
9,1990-03-18,9,/episode/9.webp,Life on the Fast Lane,1,Homer's thoughtless birthday gift to Marge causes the first of many marriage crises between them when Marge takes bowling lessons and is charmed by a French bowler named Jacques.
10,1990-03-25,10,/episode/10.webp,Homer's Night Out,1,"While Marge and the kids go out to eat at a seafood restaurant, Bart (who just got a spy camera in the mail)  comes across a private bachelor party where Homer is dancing with a belly dancer known as Princess Kashmir, takes a photo of it, and passes it around the neighborhood. When Marge confronts Homer about the incriminating evidence, she throws him out for a day, then tells him that she will take him back — but only if he takes Bart to see the stripper and show that the dancer is more than just a sex object for horny men."
11,1990-04-15,11,/episode/11.webp,The Crepes of Wrath,1,"After getting in trouble for flushing a cherry bomb down the boys' room toilet (which leads to Principal Skinner's mother, Agnes, getting hurt), Bart is sent to France on a foreign-exchange program, where a pair of low-rent winemakers treat him like a slave. Meanwhile, the rest of the Simpson family host an Albanian boy named Adil whom Homer loves, but does Adil love Homer or is he using him to get information on the nuclear plant for his country?"
12,1990-04-29,12,/episode/12.webp,Krusty Gets Busted,1,"Bart and Lisa play amateur sleuth for their hero, Krusty the Clown, after he's accused of robbing the Kwik-E-Mart and Homer implicates him in the crime."
13,1990-05-13,13,/episode/13.webp,Some Enchanted Evening,1,"After Marge calls a radio station psychiatrist and spills her guts on how uncaring Homer is, Homer makes up for it by taking Marge out on the town and leaving the kids with the only babysitter who isn't afraid of caring for the Simpson kids...who turns out to be a wanted fugitive."
14,1990-10-11,14,/episode/14.webp,"Bart Gets an ""F""",2,"After fumbling through his book report on Treasure Island, Bart is ordered to study hard and pass his upcoming history exam — or he'll be in the fourth grade for another year."
15,1990-10-18,15,/episode/15.webp,Simpson and Delilah,2,"Homer tries a new hair growth formula — Dimoxinil — and wakes up with a full head of hair, which wins him a promotion at work. However, Homer's hair and success prove to be short-lived when it is revealed that he fraudulently charged the Dimoxinil to the company health plan."
16,1990-10-25,16,/episode/16.webp,Treehouse of Horror,2,"The first of the annual Halloween spook-fest where Bart and Lisa tell scary stories in their treehouse while Homer eavesdrops. In ""Bad Dream House"", the Simpsons move into a haunted house whose spirits urge them to kill each other. In ""Hungry Are the Damned"", The Simpsons get abducted by aliens who may or may not be fattening them up for dinner. Finally, Lisa tells her spin on Edgar Allan Poe's ""The Raven"", where the narrator (Homer) is haunted by a raven (Bart) while pining for his lost Lenore (Marge)."
17,1990-11-01,17,/episode/17.webp,Two Cars in Every Garage and Three Eyes on Every Fish,2,Mr. Burns runs for governor of whatever state Springfield is in to keep his power plant from shutting down after Bart catches a three-eyed fish in the nearby river and the fish becomes headline news.
